Location_x,Location_y,PCI,RSRP,RSRQ,SNR,Location_SC1_x,Location_SC1_y,Location_SC2_x,Location_SC2_y,Location_SC3_x,Location_SC3_y,Location_SC5_x,Location_SC5_y,Power_SC1,Power_SC2,Power_SC3,Power_SC5,file_name,time
808,186,3,-85.9,-10.6,27.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:24.6
808,186,3,-86.5,-5.9,27.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:24.0
665,265,54,-80.4,-6.6,16.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161932.1.nmf,19:37.5
665,265,54,-80.5,-6.4,17.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161932.1.nmf,19:35.7
665,265,54,-81.4,-6.6,16.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161932.1.nmf,19:35.2
665,265,54,-77.8,-6.3,20.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161932.1.nmf,19:33.1
665,265,54,-83.7,-6.3,21.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161932.1.nmf,19:33.0
820,210,3,-90.9,-7.2,-0.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:22.4
820,210,3,-90.8,-6.8,-0.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:21.9
820,210,3,-92,-6.8,-0.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:21.4
820,210,3,-90.8,-6.7,0.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:20.9
820,210,3,-94.6,-8.3,-0.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:20.4
820,210,3,-94.6,-8.1,-1.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:19.9
820,210,3,-93.4,-7.3,-1.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:19.4
820,210,3,-94.8,-7.3,0.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111518.1.nmf,15:18.9
791,102,3,-80.1,-8.9,29.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:30.7
791,102,3,-77.8,-6.1,29.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:30.2
791,102,3,-76.7,-6.3,29.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:29.7
791,102,3,-74.8,-5.9,29.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:29.2
791,102,3,-77.2,-6.1,29.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:28.7
791,102,3,-78.9,-5.9,29.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:28.2
791,102,3,-76,-7.8,29,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:27.7
791,102,3,-79.8,-6,28.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:27.2
791,102,3,-82.1,-6.4,29.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:26.7
791,102,3,-79.4,-6.8,29.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:26.2
791,102,3,-79.8,-5.8,29.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:25.7
791,102,3,-81.9,-6.9,29.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:25.2
791,102,3,-81.9,-6.4,28.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:24.7
791,102,3,-82.8,-6.2,29,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:24.2
791,102,3,-82.6,-7.3,28.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:23.6
791,102,3,-80.8,-6.8,28.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:23.1
791,102,3,-79.9,-8.1,28.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110322.1.nmf,03:22.6
367,210,1,-92,-7.2,13.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170210.1.nmf,02:12.5
367,210,1,-92,-8.4,13.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170210.1.nmf,02:11.5
367,210,1,-93,-6.3,18.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170210.1.nmf,02:11.0
258,147,1,-96.6,-6.2,26.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164124.1.nmf,41:28.3
258,147,1,-90.8,-6.5,28.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164124.1.nmf,41:27.1
258,147,1,-92.2,-6.8,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164124.1.nmf,41:25.8
258,147,1,-93,-6.4,29.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164124.1.nmf,41:24.7
694,187,54,-97.8,-5.9,1.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170350.1.nmf,03:52.5
694,187,54,-91.4,-6.6,4.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170350.1.nmf,03:51.1
694,187,3,-87.1,-8.5,17,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170350.1.nmf,03:50.5
694,187,3,-86.2,-8.9,15.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170350.1.nmf,03:50.1
726,278,3,-95.9,-6.4,29.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171421.1.nmf,14:23.0
726,278,3,-98.9,-6.3,25.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171421.1.nmf,14:21.7
636,282,54,-85.6,-6.3,25.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161920.1.nmf,19:24.1
636,282,54,-90.1,-6.2,22.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161920.1.nmf,19:22.4
636,282,54,-92,-6.3,23.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161920.1.nmf,19:21.1
636,282,54,-84.4,-6.3,26.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_161920.1.nmf,19:20.4
753,212,3,-83.8,-7.9,5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:46.1
753,212,3,-87.4,-6.5,5.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:45.6
753,212,3,-87.8,-6.9,4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:45.1
753,212,3,-87.1,-6.3,3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:44.6
753,212,3,-87.9,-7.1,4.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:44.1
753,212,3,-88.8,-5.1,6.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:43.6
753,212,3,-86.4,-6.4,5.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:43.1
753,212,3,-87.8,-8.9,4.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:42.6
753,212,3,-86.1,-7.2,7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:42.1
753,212,3,-82.8,-8.6,6.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:41.6
753,212,3,-84.8,-6.8,2.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_111441.1.nmf,14:41.1
503,177,2,-78.9,-6.3,28.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163452.1.nmf,34:56.7
503,177,2,-78.7,-6.1,27,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163452.1.nmf,34:55.5
503,177,2,-78.9,-6.3,27.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163452.1.nmf,34:54.3
503,177,2,-77.1,-6.4,28.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163452.1.nmf,34:53.1
503,177,2,-72.6,-6.3,29.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163452.1.nmf,34:52.8
731,195,3,-79.8,-5.6,26.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:18.2
731,195,3,-80.6,-5.9,28.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:17.7
731,195,3,-81,-6.1,28.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:17.2
731,195,3,-77.9,-6,27.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:16.7
731,195,3,-78.1,-6.1,27.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:16.2
731,195,3,-79.7,-5.9,27,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:15.7
731,195,3,-81.6,-5.9,27,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:15.1
731,195,3,-81.4,-6.6,27.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:14.6
731,195,3,-81.2,-5.9,28,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:14.1
731,195,3,-81.1,-5.8,26.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:13.6
731,195,3,-80.9,-5.9,26,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:13.1
731,195,3,-80.5,-5.9,26.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:12.6
731,195,3,-79.4,-5.9,27,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:12.1
731,195,3,-80.4,-6,28.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:11.6
731,195,3,-80.3,-6.1,28.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:11.1
731,195,3,-80.9,-5.9,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:10.6
731,195,3,-79.6,-5.9,28.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:10.1
731,195,3,-79.8,-6.1,28.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:09.6
731,195,3,-82.6,-6,29.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:09.1
731,195,3,-81.9,-6,29.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:08.6
731,195,3,-80.1,-6,28.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:08.1
731,195,3,-79.4,-6.1,29,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:07.6
731,195,3,-78.8,-6,29,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:07.1
731,195,3,-78.9,-6,28.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110903.1.nmf,09:06.6
