location_x,location_y,PCI,RSRP
18,16,1,-92.3
18,16,1,-90.4
18,16,1,-86.1
18,16,1,-86.3
18,16,1,-87.3
17,11,1,-81.7
17,11,1,-81.3
17,11,1,-86.5
94,13,151,-116.6
94,13,151,-117.3
15,25,1,-96.3
15,25,1,-96.1
15,25,1,-96.4
15,25,1,-97.6
89,13,3,-84.4
89,13,3,-82.6
89,13,3,-83.4
89,13,3,-84.5
89,13,3,-80.3
89,13,3,-84.1
89,13,3,-82.8
89,13,3,-82.6
89,13,3,-84.2
89,13,3,-81.5
89,13,3,-81.6
89,13,3,-83.6
89,13,3,-83.8
89,13,3,-82.3
17,24,1,-94.8
17,24,1,-100.4
17,24,1,-98.1
17,24,1,-102.5
42,25,2,-88.6
42,25,2,-87.8
42,25,2,-93
48,21,2,-82.9
48,21,2,-83.9
48,21,2,-84.9
77,22,3,-86.4
77,22,3,-88.4
77,22,3,-87.6
77,22,3,-87.8
77,22,3,-88.4
77,22,3,-87.6
77,22,3,-87.8
77,22,3,-88.3
77,22,3,-88.3
53,19,2,-71.7
53,19,2,-73.1
53,19,2,-65.9
66,7,54,-79.7
66,7,54,-82.1
66,7,54,-80.3
66,7,54,-84.1
33,21,2,-107.1
33,21,2,-104.1
33,21,2,-103.1
33,21,2,-114.1
33,21,2,-108.3
78,8,54,-95.3
78,8,54,-97.6
78,8,54,-94
78,8,54,-95.3
93,11,54,-87.9
93,11,54,-84.4
93,11,54,-84.6
93,11,3,-87.9
93,11,3,-88.6
93,11,3,-87.1
93,11,3,-87.7
93,11,3,-87.4
93,11,3,-86.5
93,11,3,-88.4
87,20,3,-80.4
87,20,3,-81.3
87,20,3,-81.8
87,20,3,-81.8
87,20,3,-81.6
87,20,3,-81.8
87,20,3,-81.6
87,20,3,-83.6
87,20,3,-82.8
87,20,3,-83.5
87,20,3,-82.6
87,20,3,-84.1
87,20,3,-85.1
87,20,3,-83.4
87,20,3,-81.9
87,20,3,-82.7
87,20,3,-83.9
15,20,1,-87.2
15,20,1,-90.7
15,20,1,-93.6
15,20,1,-89.4
60,7,54,-100.1
60,7,54,-99.4
60,7,54,-97.9
60,7,54,-100.8
77,16,3,-81
77,16,3,-79.5
99,15,54,-120.1
99,15,54,-117.8
99,15,54,-124.6
88,18,3,-84.6
88,18,3,-81.9
88,18,3,-82.1
88,18,3,-81.3
88,18,3,-80.6
88,18,3,-80.1
88,18,3,-79.6
88,18,3,-79.6
88,18,3,-80.6
88,18,3,-81.2
88,18,3,-80.9
88,18,3,-80.9
88,18,3,-81.2
88,18,3,-80.7
88,18,3,-80.9
88,18,3,-80.8
88,18,3,-80.3
88,18,3,-80.2
88,18,3,-80.4
88,18,3,-79.6
88,18,3,-79.9
16,22,1,-89.9
16,22,1,-89.1
16,22,1,-93.8
66,8,54,-91.3
66,8,54,-89.7
66,8,54,-88.6
66,8,54,-89.3
86,11,54,-83.5
86,11,151,-137.6
86,11,151,-133
86,11,151,-134.3
86,11,151,-134
86,11,151,-133.1
81,17,3,-77.8
81,17,3,-74.7
81,17,3,-71.3
81,17,3,-72.8
81,17,3,-71.9
81,17,3,-70.7
81,17,3,-70.2
81,17,3,-70.8
81,17,3,-70.7
81,17,3,-70.8
81,17,3,-71.1
81,17,3,-70.9
81,17,3,-71.8
81,17,3,-72.1
81,17,3,-73.6
42,21,2,-85.4
42,21,2,-84.6
42,21,2,-89.8
42,21,2,-91.8
73,3,54,-83.9
73,3,54,-82.1
73,3,54,-82.9
73,3,54,-85.9
15,20,1,-91
15,20,1,-94.1
15,20,1,-94.3
15,20,1,-94.2
7,14,1,-109.3
7,14,1,-102.6
7,14,1,-106.3
30,25,1,-102
30,25,1,-102.4
30,25,1,-103.1
30,25,1,-103.1
88,20,3,-81.8
88,20,3,-81.9
88,20,3,-81.8
88,20,3,-82.6
88,20,3,-82.3
88,20,3,-81.8
88,20,3,-86
88,20,3,-84.8
88,20,3,-84.5
88,20,3,-85.1
88,20,3,-85.5
88,20,3,-83.4
88,20,3,-82.9
88,20,3,-87.3
88,20,3,-88.3
76,6,54,-93.5
76,6,54,-91.8
76,6,54,-92
76,6,54,-94.6
76,6,54,-94.3
22,6,1,-87.3
22,6,1,-88.8
22,6,1,-85.1
22,6,1,-86.3
22,6,1,-85.1
14,20,1,-86.3
14,20,1,-88.7
14,20,1,-86.9
14,20,1,-93.1
88,22,3,-74.8
88,22,3,-74.3
88,22,3,-74.1
88,22,3,-74.9
88,22,3,-75.5
88,22,3,-75.6
88,22,3,-78
88,22,3,-79.2
88,22,3,-79.7
88,22,3,-80.2
88,22,3,-79.8
88,22,3,-78.3
88,22,3,-79.1
88,22,3,-78.3
88,22,3,-78.4
11,21,1,-96.1
11,21,1,-94.4
11,21,1,-99.8
11,21,1,-97.8
18,15,1,-84.3
18,15,1,-85.1
18,15,1,-83.1
18,15,1,-83.1
93,2,54,-107.6
93,2,54,-105.6
93,2,54,-107.6
65,12,3,-101.1
65,12,3,-101.9
65,12,3,-100.7
65,12,3,-99.3
82,12,54,-92.9
82,12,54,-91.1
82,12,54,-95.8
82,12,54,-83.3
81,22,3,-69.8
81,22,3,-67.6
81,22,3,-66.3
81,22,3,-68.6
81,22,3,-69.6
81,22,3,-68.5
81,22,3,-67.2
81,22,3,-67
81,22,3,-69.4
70,6,54,-82.2
70,6,54,-82.9
70,6,54,-83.3
70,6,54,-84.1
26,5,1,-83.1
26,5,1,-81.8
26,5,1,-84.6
26,5,1,-84.5
18,20,1,-96.4
18,20,1,-95.4
18,20,1,-95.8
44,23,2,-85.3
44,23,2,-85.1
44,23,2,-87.6
44,23,2,-87.1
91,19,3,-86.8
91,19,3,-84.8
91,19,3,-85
75,5,54,-80.4
75,5,54,-79.4
75,5,54,-80.1
75,5,54,-81.9
75,5,54,-86.8
72,16,54,-88.3
72,16,54,-86.1
72,16,54,-87.3
72,16,54,-86.6
90,8,54,-98.5
90,8,54,-99.1
90,8,54,-102.9
68,9,54,-80.4
68,9,54,-79.4
68,9,54,-78.2
68,9,54,-80
68,9,54,-79.3
69,8,54,-86.6
69,8,54,-88.1
69,8,54,-84.9
69,8,54,-81.8
23,18,1,-94.2
23,18,1,-96.6
91,4,3,-106.8
91,4,3,-107.7
91,4,3,-110.6
37,8,1,-103.7
37,8,1,-99.9
37,8,1,-99.9
37,8,1,-108.1
86,24,3,-78.9
86,24,3,-76.9
86,24,3,-76.8
86,24,3,-76.4
86,24,3,-75.9
86,24,3,-75.6
86,24,3,-76.4
86,24,3,-76.3
86,24,3,-75.1
86,24,3,-74.9
86,24,3,-74.5
86,24,3,-74.4
86,24,3,-74.9
86,24,3,-77.9
86,24,3,-80.3
39,13,1,-86.6
39,13,1,-87.6
39,13,1,-90.1
46,21,2,-74.5
46,21,2,-75.8
46,21,2,-75.9
46,21,2,-78.7
46,21,2,-77.6
53,16,2,-77
53,16,2,-75.6
53,16,2,-74.4
31,5,1,-90.9
31,5,1,-90.3
31,5,1,-92.9
34,5,1,-90.5
34,5,1,-93.8
34,5,1,-108.1
79,20,3,-84.3
79,20,3,-85.1
79,20,3,-86.9
79,20,3,-87.6
79,20,3,-84.8
79,20,3,-85.4
79,20,3,-84
79,20,3,-84.6
79,20,3,-84.6
79,20,3,-81.1
79,20,3,-81.2
15,17,1,-83.3
15,17,1,-86.8
15,17,1,-82.8
15,17,1,-92.6
62,12,3,-100.6
62,12,3,-98.1
62,12,3,-111.8
12,19,1,-100.9
12,19,1,-99.1
12,19,1,-96.5
12,19,1,-101.7
70,18,3,-85.7
70,18,54,-84.8
70,18,54,-84.6
68,7,54,-82.3
68,7,54,-82.5
68,7,54,-84.5
68,7,54,-84.4
62,2,54,-102
62,2,54,-100.1
62,2,54,-102.7
23,10,1,-87.9
23,10,1,-94.1
23,10,1,-84.4
30,22,1,-105.7
30,22,1,-101.8
30,22,1,-102
30,22,1,-103
30,22,1,-100.6
23,19,1,-88.3
23,19,1,-88.9
23,19,1,-92.1
67,6,54,-90.1
67,6,54,-98.6
67,6,54,-100.3
67,6,54,-89.1
19,9,1,-76.3
19,9,1,-78.1
19,9,1,-81.4
2,15,151,-128.6
2,15,151,-126.2
2,15,151,-127.2
2,15,151,-126.8
2,15,151,-127.2
2,15,151,-126.3
4,12,1,-112.9
4,12,1,-118.7
4,12,1,-110.1
4,12,1,-120.7
15,6,1,-100.4
15,6,1,-96.9
15,6,1,-94.1
93,23,3,-91.6
93,23,3,-94.4
93,23,3,-100.4
13,20,1,-89.7
13,20,1,-88.6
13,20,1,-92.8
80,18,3,-69.1
80,18,3,-66.1
80,18,3,-70.8
80,18,3,-73
80,18,3,-66.9
80,18,3,-66.8
80,18,3,-68.8
80,18,3,-73.8
80,18,3,-72.4
80,18,3,-70.2
80,18,3,-69.6
80,18,3,-69.4
80,18,3,-70.7
24,5,1,-85.4
24,5,1,-87.6
24,5,1,-85.4
24,5,1,-90.4
24,5,1,-102.9
82,9,54,-94.6
82,9,54,-94.9
82,9,54,-95.3
82,9,54,-97
82,9,54,-101.8
30,11,1,-91.4
30,11,1,-93.3
30,11,1,-91.4
73,5,54,-81.7
73,5,54,-87.6
73,5,54,-88.4
73,5,54,-88.3
83,21,3,-75.8
83,21,3,-73.3
83,21,3,-76.2
83,21,3,-72.1
83,21,3,-66.6
83,21,3,-67.6
83,21,3,-67.8
83,21,3,-74.3
83,21,3,-72.8
83,21,3,-75.8
83,21,3,-73.9
83,21,3,-74.9
83,21,3,-75
83,21,3,-75.7
90,21,3,-90.5
90,21,3,-89.9
90,21,3,-89.3
90,21,3,-88.6
14,22,1,-92
14,22,1,-94.6
14,22,1,-98.3
14,22,1,-93.1
37,7,1,-101.9
37,7,1,-103.8
37,7,1,-102.6
94,15,151,-112.6
94,15,151,-112.3
94,15,151,-112.9
94,15,151,-115.3
94,15,151,-116.4
94,15,151,-113
94,15,151,-115.3
60,3,54,-86.7
60,3,54,-85.3
60,3,54,-87.6
60,3,54,-86.4
84,9,54,-96.7
84,9,54,-93.7
84,9,54,-95.2
20,5,1,-89.8
20,5,1,-90.4
20,5,1,-92.1
92,1,3,-106.6
92,1,3,-107.3
92,1,3,-107.8
24,7,1,-84.3
24,7,1,-84.3
24,7,1,-83.6
5,17,1,-106.2
5,17,1,-105.3
5,17,1,-103.9
5,17,1,-111.3
5,17,1,-116.5
12,15,1,-100.8
12,15,1,-100.7
12,15,1,-99.5
65,7,54,-83.6
65,7,54,-83.1
65,7,54,-82.4
65,7,54,-85.2
30,8,1,-90.7
30,8,1,-88.9
30,8,1,-89.4
30,22,2,-111.5
30,22,2,-108.7
30,22,2,-110.8
30,22,2,-110.2
30,22,2,-109.6
88,11,3,-88.8
88,11,3,-91.2
88,11,3,-87.5
88,11,3,-88.7
88,11,3,-92.9
88,11,3,-95
88,11,3,-90.6
88,11,3,-86.9
88,11,3,-87
88,11,3,-86.6
88,11,3,-86.1
88,11,3,-87.9
88,11,3,-88.8
40,7,1,-102.9
40,7,1,-104.3
40,7,1,-104.3
44,12,2,-82.6
44,12,2,-80.3
44,12,2,-79.2
44,12,2,-78.8
15,26,1,-97.4
15,26,1,-98.1
15,26,1,-96.7
15,26,1,-97.8
50,14,2,-74.4
50,14,2,-72.8
50,14,2,-76.5
50,14,2,-77.4
11,26,1,-100.2
11,26,1,-100.4
11,26,1,-101.6
11,26,1,-101.9
16,20,1,-89.5
16,20,1,-86.6
74,15,54,-88.5
74,15,54,-82.7
74,15,54,-80.8
73,6,54,-88.1
73,6,54,-89.6
73,6,54,-89.9
73,6,54,-87.9
52,18,2,-66.6
52,18,2,-65.1
52,18,2,-65.7
52,18,2,-65.9
43,12,1,-97.4
43,12,1,-100.3
43,12,1,-102.2
21,17,1,-92.6
21,17,1,-97.5
21,17,1,-93.9
15,7,1,-86.8
15,7,1,-85
15,7,1,-86.4
15,7,1,-90.5
76,8,54,-84.9
76,8,54,-84.1
76,8,54,-85.1
76,8,54,-85.1
37,1,1,-106
37,1,1,-107.5
37,1,1,-111.6
37,1,1,-110.7
65,9,54,-81.5
65,9,54,-85.4
